Länskod;Länsnamn;Kommunkod ;Kommunnamn;Beteckning på tätort;x-koordinat;y-koordinat;x;y;;;;;;
04;Södermanland;0482;Flen;Mellösa;589 605;6 552 258;589605;6552258;;;;;;
04;Södermanland;0482;Flen;Orrhammar;589 256;6 550 133;589256;6550133;;;;;;
04;Södermanland;0482;Flen;Skebokvarn;597 894;6 548 649;597894;6548649;;;;;;
04;Södermanland;0482;Flen;Sparreholm;604 400;6 549 642;604400;6549642;;;;;;
04;Södermanland;0482;Flen;Flen;591 277;6 547 860;591277;6547860;;;;;;
04;Södermanland;0483;Katrineholm;Bie;569 299;6 550 504;569299;6550504;;;;;;
04;Södermanland;0483;Katrineholm;Björkvik;587 654;6 522 819;587654;6522819;;;;;;
04;Södermanland;0483;Katrineholm;Djulö kvarn;569 281;6 537 321;569281;6537321;;;;;;
04;Södermanland;0483;Katrineholm;Forssjö;574 235;6 535 802;574235;6535802;;;;;;
04;Södermanland;0483;Katrineholm;Sköldinge;583 546;6 544 220;583546;6544220;;;;;;
04;Södermanland;0483;Katrineholm;Strångsjö;568 977;6 530 066;568977;6530066;;;;;;
04;Södermanland;0483;Katrineholm;Valla;578 989;6 543 049;578989;6543049;;;;;;
04;Södermanland;0483;Katrineholm;Äsköping;560 947;6 556 905;560947;6556905;;;;;;
04;Södermanland;0483;Katrineholm;Katrineholm;568 735;6 539 793;568735;6539793;;;;;;
04;Södermanland;0484;Eskilstuna;Alberga;563 503;6 571 831;563503;6571831;;;;;;
04;Södermanland;0484;Eskilstuna;Bälgviken;583 220;6 568 709;583220;6568709;;;;;;
04;Södermanland;0484;Eskilstuna;Hållsta;582 840;6 573 625;582840;6573625;;;;;;
04;Södermanland;0484;Eskilstuna;Hällberga;591 000;6 576 747;591000;6576747;;;;;;
04;Södermanland;0484;Eskilstuna;Hällbybrunn;580 817;6 584 614;580817;6584614;;;;;;
04;Södermanland;0484;Eskilstuna;Kullersta, Kolsta och Hensta;586 488;6 590 012;586488;6590012;;;;;;
04;Södermanland;0484;Eskilstuna;Kjulaås;595 433;6 584 434;595433;6584434;;;;;;
